artistaIdentificador,albumidentificador,cancionidentificador,nickname,duracion,direccionpremium,direccionestandar,reproducciones,miembroProduccion_1,miembroProduccion_2,miembroProduccion_3,miembroProduccion_4,miembroProduccion_5
11111,00,01,beAlright,184,/data/ive/audio/be_alright_320.ogg,/data/ive/audio/be_alright_128.ogg,3123,10457,21984,33560,46712,59301
11111,00,02,dareMe,190,/data/ive/audio/dare_me_320.ogg,/data/ive/audio/dare_me_128.ogg,1231,14892,20765,33901,42056,57813
11111,00,03,Accendio,201,/data/ive/audio/accendio_320.ogg,/data/ive/audio/accendio_128.ogg,543,11502,23671,34980,46815,59027
11111,01,01,Iam,170,/data/ive/audio/iam_320.ogg,/data/ive/audio/iam_128.ogg,63462,10234,21879,30156,45670,58902
11111,01,02,Kitsch,195,/data/ive/audio/kitsch_320.ogg,/data/ive/audio/kitsch_128.ogg,6546,11903,22741,31865,44120,59781
11110,02,01,drip,180,/data/babymonster/audio/drip_320.ogg,/data/babymonster/audio/drip_128.ogg,1231,13005,24670,33019,45994,58010
11110,02,02,billionaire,175,/data/babymonster/audio/billionaire_320.ogg,/data/babymonster/audio/billionaire_128.ogg,43634,10179,22568,34790,46931,59104
11110,02,03,reallyLikeYou,170,/data/babymonster/audio/really_like_you_320.ogg,/data/babymonster/audio/really_like_you_128.ogg,757,11345,22907,34150,47890,59931
11110,03,01,batterUp,196,/data/babymonster/audio/batter_up_320.ogg,/data/babymonster/audio/batter_up_128.ogg,8589,10678,21459,30987,45211,57642
11110,03,02,weGoUp,194,/data/babymonster/audio/we_go_up_320.ogg,/data/babymonster/audio/we_go_up_128.ogg,421,12456,23891,36012,47005,58977
11110,04,01,sheesh,200,/data/babymonster/audio/sheesh_320.ogg,/data/babymonster/audio/sheesh_128.ogg,9018,11804,23067,34119,46580,59066
11110,04,02,likeThat,176,/data/babymonster/audio/like_that_320.ogg,/data/babymonster/audio/like_that_128.ogg,89324,10345,21990,33211,44782,57890
11110,04,03,dream,189,/data/babymonster/audio/dream_320.ogg,/data/babymonster/audio/dream_128.ogg,91321,11123,22654,34002,45871,59905
11076,05,01,armageddon,197,/data/aespa/audio/armageddon_320.ogg,/data/aespa/audio/armageddon_128.ogg,89123,10567,21784,33950,47210,59841
11076,05,02,supernova,173,/data/aespa/audio/supernova_320.ogg,/data/aespa/audio/supernova_128.ogg,109993,12780,23341,35109,46852,59028
11076,06,01,girls,160,/data/aespa/audio/girls_320.ogg,/data/aespa/audio/girls_128.ogg,132,11209,22988,34011,45930,58776
11076,06,02,illusion,185,/data/aespa/audio/illusion_320.ogg,/data/aespa/audio/illusion_128.ogg,3123,10985,22440,33077,45166,59322
11076,06,03,lifesToShort,192,/data/aespa/audio/lifes_to_short_320.ogg,/data/aespa/audio/lifes_to_short_128.ogg,89232,11670,23802,34977,46250,58599
